/vald/db/all.cfg                                                                
Lf------eV
     76.61800 13.05  -0.170   5.104  2.0 166.927  3.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *1F     KP        2   2   2   2   2   2   2   2   2
     76.69700 13.05  -0.290   5.104  2.0 166.760  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *       KP        2   2   2   2   2   2   2   2   2
     76.69700 13.05  -3.060   5.104  2.0 166.760  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *       KP        2   2   2   2   2   2   2   2   2
     76.79600 13.05  -3.060   5.104  2.0 166.552  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *3P     KP        2   2   2   2   2   2   2   2   2
     76.90100 12.05  -1.570  10.405  0.5 171.631  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2P   5d'  2D?   KP        2   2   2   2   2   2   2   2   2
     76.90800 12.05  -2.090  10.418  1.5 171.631  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2P   5d'  2D?   KP        2   2   2   2   2   2   2   2   2
     76.90800 12.05  -1.230  10.418  1.5 171.631  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2P   5d'  2D?   KP        2   2   2   2   2   2   2   2   2
     76.95300 13.05  -0.870   5.104  2.0 166.222  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *1P     KP        2   2   2   2   2   2   2   2   2
     76.99700 12.05  -4.530  10.418  1.5 171.444  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2P   5d'  2F    KP        2   2   2   2   2   2   2   2   2
     77.02500 13.05  -2.870   5.104  2.0 166.070  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     77.02500 13.05  -3.250   5.104  2.0 166.070  3.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     77.02500 13.05  -1.880   5.104  2.0 166.070  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 1D   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     77.13000 12.05  -4.220   0.000  1.5 160.749  0.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4d'  2S    KP        2   2   2   2   2   2   2   2   2
     77.27100 12.05  -3.870   0.000  1.5 160.455  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4d'  2P    KP        2   2   2   2   2   2   2   2   2
     77.27100 12.05  -4.480   0.000  1.5 160.455  0.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4d'  2P    KP        2   2   2   2   2   2   2   2   2
     77.40500 12.05  -0.580   6.863  2.5 167.040  3.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d   2F    KP        2   2   2   2   2   2   2   2   2
